id,sentence fragment,correct answer,s1,s2,s3,s4
test017,"日蓮宗では、,五,重,相対の",s1,する。,行われる。,いわれる。,伝わっている。
test018,"御土居は,取り壊されるだけとは",s3,立つ。,移された。,移築されることもあった。,称した。
test019,その後、,s3,改めた。,整備されていった。,数えた。,描かれる。
test020,"また、,中津は",s4,求められるようになる。,機能した。,死去していた。,残している。
test021,"浄土,真宗,系は,黒,塗り・,紺,系、,他,宗は,朱塗り・,朱色,系の",s4,位置づけられた。,使う。,供える。,使用される。
test022,文,s2,見られる。,なる。,あった。,いう。
test023,"「これ,誰か",s4,いう。,なる。,見られる。,ある。
test024,"平安,時代は,「う,だ,ち」と,よばれたが、,室,町,以後",s2,設置した。,訛った。,記される。,言える。
test025,"以後、,宮城",s3,禁じられている。,祀られている。,称された。,移された。
test026,"有名,絵師の,ものも",s3,いう。,見られる。,ある。,なる。
test027,"このような,古式の",s2,生まれた。,見ることができる。,言われている。,歴任した。
test028,"1,個,（1",s2,配置する。,鑑賞できる。,開かれた。,配置した。
test029,"しかし,建,武,3,年,（1336",s4,混在した。,波及していった。,活用されている。,消失した。
test030,"以後、,東三条殿と,並ぶ",s4,更迭されていた。,死去していた。,栽培される。,機能した。
test031,"住宅では,次第に,部材も",s4,いう。,見られる。,あった。,なった。
test032,"最後に,刃,紋から,棟までを,鎬,地,用,焼場,土を,厚く",s3,知られている。,皮肉られた。,盛る。,登場している。
test033,"出雲,大社、,宇佐,神宮では,二,拍手ではなく,四,拍手で",s4,呼ぶ。,いわれる。,称される。,行う。
test034,"シルト,岩は,多摩",s3,題されている。,集中させる。,露出している。,開催されている。
test035,"私ども,法華,宗の,僧は,いったん,宗門を,離れ、,改めて,御許可を,得てから",s2,定着した。,就かせていただきます。,寄せている。,就任した。
test036,"これを,初",s1,呼ぶ。,いわれている。,される。,称される。
test037,"群馬県,桐生市や,大阪府,東大阪市に",s2,存続していた。,存在する。,始まる。,好んだ。
test038,"そして、,平面が,撥,形・,長方形・",s4,される。,称される。,いわれている。,呼ぶ。
test039,"関東に,移封,された,徳川,家",s1,回復する。,囲んでいる。,呼んでいる。,呼称される。
test040,沖縄県では,s2,親しまれている。,言う。,触れている。,記されている。
test041,なるべくなら、,s3,表す。,至った。,行うこととされている。,考慮されている。
test042,""""""",遠",s3,整備されていった。,描かれる。,数えている。,改めた。
test043,"この,石室には,輝,石,安山岩,（サヌカイト）と,推定される,板,石が",s2,使用される。,使われている。,位置づけられた。,位置する。
test044,"即位,灌頂を",s1,得ることになる。,後押しした。,得度した。,彫られる。
test045,"谷崎,潤一郎は",s1,好んだ。,変えられた。,始まったとされている。,増やしていった。
test046,"立場に,あれば,「立場,茶屋」と",s2,受けた。,呼ばれていた。,学ぶ。,出土している。
test047,"ちなみに,江戸でも,1800,年頃、",s4,溜めることもできる。,活用されている。,消失した。,混在した。
test048,"蓮,悟は,辛うじて,自治,都市である,和泉",s1,出来た。,処されることになった。,出かける。,出現した。
test049,"旧暦,7,月,15",s3,いわれる。,称される。,行われる。,呼ぶ。
test050,"イギリス,品種である,Laverは、,イギリスの,ウェールズ,南部,地方で,古くから",s4,さす。,きている。,たどり着かない。,されている。
test051,"三悪道に,対し、,修羅,界・",s4,称される。,行う。,された。,いわれる。
test052,町内の,s1,出かける。,凝らされる。,処されることになった。,出来た。
test053,"石材は,二",s3,述べている。,造営された。,造られている。,追いやった。
test054,"当初は,「鼻,塚」と",s3,受けた。,学ぶ。,呼ばれていた。,出土している。
test055,"内藤,ジョアンが,洗礼を,受けてから,3ヵ",s1,亡くしたことになる。,乱立した。,並んでいる。,付けられた。
test056,"延,鎮は,坂上,田村,麻呂とともに",s2,就かせていただきます。,尽力した。,展示している。,就任した。
test057,"本丸を,この,名称で,呼ぶ",s3,いう。,見られる。,ある。,なる。
test058,指定,s3,いう。,見られる。,ある。,なる。
test059,"その,上,神格化していた,ために,手厚い,保護の,下で、,個体,数を",s1,増やしていった。,囲んでいる。,変えられた。,回復する。
test060,"その,姿は、,実際の,造形",s1,纏う。,編纂された。,置いた。,続ける。
test061,"施設は,京都市が,所有し、,京都市,体育,協会が,指定,管理,者と,して,運営,管理を",s1,行っている。,表す。,考慮されている。,至った。
test062,"楼,船,（ろうせん）とも",s4,なる。,見られる。,あった。,いう。
test063,"日本では、,十,王,信仰が,持ち込まれた,事で,他界に",s1,増えた。,変えられた。,回復する。,囲んでいる。
test064,"内部を,仏殿,形式と,した,本殿と,前部の",s4,戻った。,感得した。,感じる。,成る。
test065,"もとは,北",s2,なる。,あった。,見られる。,いう。
test066,"なお、,野,宮は,黒木,（皮の,ついた,ままの,木材）で",s2,述べている。,造られた。,造営された。,追いやった。
test067,"法,相,宗以外の,諸,宗にも",s2,機能していた。,歴任した。,生まれた。,持っていた。
test068,ガラスの,s1,衰退しつつある。,見られている。,行われている。,表す。
test069,"810,年",s2,復元された。,得度した。,得ることになる。,後押しした。
test070,"2,階,建てが,多いが、",s3,見られる。,なる。,ある。,いう。
test071,"そうした,ものに,悪い,霊が,瓢箪に,取り",s2,あった。,いう。,見られる。,なった。
test072,"初め,16,歳の,時、,摂津,国",s4,禁じられている。,称された。,移された。,称した。
test073,"婆羅,門,僧正・,菩提",s2,される。,称される。,呼ぶ。,行う。
test074,"一般には,飛鳥",s2,呼んでいる。,呼称される。,回復する。,含める。
test075,"荘厳は,本山を,模している,ことから、,真宗,各派でも,作りが,異なり、,仏具に,関しても",s4,いう。,なる。,見られる。,ある。
test076,"地蔵,菩薩,像に",s2,する。,入る。,伝わっている。,出土している。
test077,"もとは,山田,寺,よりの,藪の,中の",s3,移築されることもあった。,称した。,移された。,禁じられている。
test078,"都市,計画の,なされていた,痕跡と,考えられる,遺構が",s3,知られる。,盛る。,確認されている。,示した。
test079,"また,仏ではないが、,馬,頭,観音の,頭上の,馬も",s1,ある。,なる。,いう。,見られる。
test080,"住民と,大学,当局に,大,迷惑を,かけながら、,しかし、,この,イベントは、,京都の,大晦日の",s1,なっていった。,ねじる。,なしている。,できる。
test081,"格子の,形は,構造、",s2,分割した。,分類できる。,分けられる。,利用される。
test082,古墳は,s1,指定されている。,指摘している。,指す。,持っている。
test083,"この,ため、,博物,館に,おける,展示",s3,見られる。,いう。,ある。,なる。
test084,"また、,線香を,灰に,立てずに,寝かすので、,線香が,燃え尽き,灰の,中に,燃え,カスが",s3,死去していた。,機能した。,残らない。,求められるようになる。
test085,"回廊は,中,門,左右から,出て,講堂までの,間を,結び、",s4,回復する。,増えた。,呼称される。,囲んでいる。
test086,"そして,真言宗は,天台宗の,一念,三千を",s2,伝わっている。,している。,行われる。,いわれる。
test087,"当初は,都,ホテルズリゾーツの,けいはんな,都,ホテルと",s2,造営された。,運営されていた。,造られている。,運搬された。
test088,"明から,朝廷に,送られてきた,難解な,国,書を,読むのに、,青",s1,上洛する。,与えた。,一新した。,もつ。
test089,"内裏の,南西に,あり、",s4,伝えられる。,伺える。,位置づけられた。,位置する。
test090,"中央の,母屋には,天皇の",s2,見られる。,ある。,なる。,いう。
test091,"古墳,時代の,全,期間に,わたって",s3,立つ。,管理している。,築かれている。,納めることがある。
test092,"1290,年,（正応,3,年）、,大石,寺,創建と同時に,塔,中・,久成坊を",s3,いた。,言われている。,開く。,説いている。
test093,"長安,懐,徳,坊に,ある,慧,日,道場に",s1,師事した。,尽力している。,展示している。,帰依します。
test094,"洛,西,松尾に,法華,山寺を,建立し,そこに,住み、",s4,紹介している。,継いだ。,経験した。,結んだ。
test095,"2,基の,巨大,古墳と,その,周囲の,中・,小形,前方,後,円墳から",s1,なっている。,見られる。,いわれている。,あった。
test096,"現在の,京都,御所にも",s2,する。,伝わっている。,入る。,いわれる。
test097,"観,阿弥の,オリジナルを",s3,考慮されている。,纏う。,考えられる。,置かれていた。
test098,"その後、,内,親王の,仏,道の",s1,献上された。,演奏される。,現れた。,点在するようになる。
test099,1392,s2,変えられた。,始まる。,存在する。,好んだ。
test100,放生,s3,亡くしたことになる。,付けられた。,伝えられている。,伺える。
test101,大当たりして、,s2,評価されるようになった。,読みつがれている。,調節できる。,認められることになる。
test102,"官,寺の,うち,大,寺、,国分寺、",s1,分かれていた。,分割した。,出現した。,出来た。
test103,"もともと,浮世,絵は、,浮世を,描いた,絵、,風俗,画と,して",s1,登場している。,皮肉られた。,登りやすくしている。,発見されている。
test104,"その,場合は,ヨーロッパの,騎士,修道,会も",s4,名乗っていることがある。,向かい掛けた。,呼ばれている。,含まれることがある。
test105,"ところが、,浄土,門の,人々は,事,相の,浄土を,立て、,心外に,仏を",s4,移る。,移築されることもあった。,管理している。,立つ。
test106,"尻尾に,栓を,する,ことで,水を",s4,消失した。,滅ぶことになる。,混在した。,溜めることもできる。
test107,通常は,s1,置いた。,考えられている。,編纂された。,纏う。
test108,"7,世紀の,宮殿の",s3,遺している。,都市化している。,遺構だとされる。,選定した。
test109,"1554,年に,39,歳の,若さで,死去し、,後を,12,歳の,長男の,顕",s3,続ける。,経験した。,継いだ。,結んだ。
test110,"狭義では,萱葺,（かやぶき）に,限るが、",s3,向かい掛けた。,呼ばれている。,含める。,名乗っていることがある。
test111,"こうした,理由から、,真",s3,なる。,あった。,いう。,見られる。
test112,"ローマ,帝政,時代,医師、,ディオスリコリデスは,著書",s4,言う。,親しまれている。,視された。,触れている。
test113,"以前は,ゴンドラ,シートと",s1,機能していた。,歴任した。,持っていた。,思われる。
test114,"この,直後、,槙島城の,義昭も",s4,混在した。,滞在する。,溜めることもできる。,滅ぶことになる。
test115,そして、,s2,登場している。,登りやすくしている。,異なる。,発見されている。
test116,"職人の,確保も、,若手を",s4,推定されている。,振られている。,排除していた。,掛かろうとしている。
test117,"「南無阿弥陀仏」＝,阿弥陀",s4,師事した。,展示している。,広まった。,帰依します。
test118,"三味線と,「お囃子」,（前述の,4",s4,点在する。,滅ぶことになる。,滞在する。,演奏される。
test119,"その,ため,一般に、,アルコール,度や,日本,酒,度が,高ければ,それだけ,辛口に",s1,感じる。,想定される。,意味していた。,感得した。
test120,現在では、,s1,見られる。,いわれている。,なっている。,あった。
test121,"また、,1995,年,6",s2,なる。,ある。,見られる。,いう。
test122,"条例上の,正式,名称は,前記の,通りだが、,一般的には,西京,極,野球,場と",s4,いわれている。,される。,呼ぶ。,呼ばれる。
test123,"その頃から,古墳,時代が",s3,好んだ。,変えられた。,始まったとされている。,存在する。
test124,"注意,：,移動,図書,館と,深草",s4,用いられる。,発見された。,生産している。,異なる。
test125,"おおまかには,Ⅰ,期,、Ⅱ,期,、Ⅲ,期,遺構と",s3,分けられる。,分割した。,分類される。,利用される。
test126,"築造,時期は,7,世紀,前半,(,古墳,時代",s3,描いている。,掛かろうとしている。,推測されている。,推定されている。
test127,"その後、,天,海は,家,康の",s4,担当した。,投げた。,抜け出せていない。,担う。
test128,"勤,行",s1,勤める。,励んだ。,厳しくなる。,加えられている。
test129,また、,s4,いう。,あった。,見られる。,なった。
test130,"スクリーンから,スタンドまでの,距離は",s2,引き渡す。,広報している。,帰依します。,広まった。
test131,"「王国の,宝物」と,呼ばれた,ショッピング",s4,買い上げてくれた。,講義する。,貢献した。,販売されていた。
test132,"なお,初,盆,（新",s2,使用される。,供える。,使われている。,促した。
test133,"改めて,世阿弥が,応永",s4,触れている。,訛った。,言える。,記される。
test134,"台座は,前述の,五,角形の,反,花,座の,下に,2,段の,框,（か,まち）が",s3,見られる。,いう。,ある。,なる。
test135,"この後、,信,玄が,権,僧正の",s3,就任した。,展示している。,尽力している。,就かせていただきます。
test136,"生,めんから,煮込んでいく,方法と,ゆで,めんを,用いる,調理,法が",s3,なる。,いう。,ある。,見られる。
test137,"こうした,ことは、,戦国,時代,(,日本,)に,入ると、また,激しい,争奪の",s2,想定される。,意味していた。,恵まれていた。,感じる。
test138,"また、,土,日を,中心に、,シングル",s3,集中させる。,鑑賞できる。,開催されている。,開かれた。
test139,善慧,s4,呼ぶ。,される。,行う。,称される。
test140,"妻,中央の、,やや",s4,される。,いわれている。,称される。,呼ぶ。
test141,"1970,年",s1,行われている。,考慮されている。,至った。,表す。
test142,"その,ときに、,念珠の,輪の,形が,Ｘ,（エックス）の,形に,なるように,1",s3,なっていった。,なしている。,ねじる。,みられる。
test143,"良,源の,勧告に,より,静,真・",s4,存在する。,存続していた。,定める。,学んだ。
test144,"つまり、,これは,鳩,摩,羅什に",s2,あった。,なっている。,いう。,見られる。
test145,"その,中に,鏡,背に,四,棟の,家屋,文様が,描かれた,家屋,文,鏡が",s2,いう。,ある。,見られる。,なる。
test146,"江戸,幕府が,成立すると、,寺院,法,度などに,より",s4,勤める。,励んだ。,収める。,厳しくなる。
test147,"それらの,多くの,天守は,遺構の,上に,造られている,ため、,礎石を,移動したり、,石垣の",s1,行う。,呼ぶ。,称される。,いわれる。
test148,"ミュージアムは,烏丸,通側,（北西,角の,北側）に,あるので、,そのまま,歩くと",s4,さす。,することもある。,ついた。,たどり着かない。
test149,"織田,信長の,近畿,地方,平定の,頃からは、",s1,広まった。,師事した。,広報している。,帰依します。
test150,"また、,島根県,東部の,出雲,地方は,方墳が,特に,多い,地域と",s2,盛る。,知られている。,確認されている。,皮肉られた。
test151,"また,磐舟柵の,別名と,する,説も,あるが、",s4,指す。,担当した。,担う。,持たない。
test152,"また、,仏教で,使用される,場合は,鉦,（かね・,しょう）とも",s2,される。,称される。,行う。,呼ぶ。
test153,"萬,福,寺",s2,いわれる。,伝わっている。,する。,入る。
test154,"構造は,中央の,母屋の,東西",s3,見られる。,あった。,なる。,いわれている。
test155,"大半が,九州",s1,集中している。,開かれた。,露出している。,開催されている。
test156,"椿,井,大塚,山",s4,生まれた。,説いている。,見ることができる。,言われている。
test157,"その,姿は,肉",s1,持っている。,担う。,担当した。,指す。
test158,今も,s1,呼ばれている。,含める。,呼称される。,向かい掛けた。
test159,"川原,石を,用いた",s1,発見されている。,登りやすくしている。,用いられる。,異なる。
test160,"屋根,裏と,なる,3",s3,置かれていた。,至った。,考慮されている。,考えられる。
test161,"経典は,容器と,して,金属,製の,経,筒に,納められ、,経,筒には,銘文が",s3,引き渡す。,広報している。,彫られる。,後押しした。
test162,この,s4,利用することができる。,制定した。,加えられている。,創刊される。
test163,禅林,s1,される。,見られる。,いわれている。,呼ばれる。
test164,"宇治で,選抜された,茶の,3",s4,就任した。,師事した。,尽力している。,展示している。
test165,"ただし、,「乳」と,呼ばれる,突起",s3,生産している。,発見された。,異なっている。,用いられる。
test166,"計,25,体の,菩薩,像を",s3,至った。,行われている。,表す。,衰退しつつある。
test167,"北,雑",s2,いう。,あった。,なる。,見られる。
test168,"鉄筋コンクリート造の,集合,住宅が,建ち並んでいる,姿が,一般的であるが、,一戸建ての,住宅が,建ち並んでいる,住宅,地でも,「○○",s2,受けなければならなくなった。,名乗っていることがある。,取り組まれた。,向かい掛けた。
test169,"授戒を,受ける",s4,許す。,評価されるようになった。,読みつがれている。,認められることになる。
test170,"また、,特に,中国に,見られる,ものと,しては、,いわゆる,「も,どき」,料理と,呼ばれる,ものが",s2,なる。,ある。,見られる。,いう。
test171,"東,本願寺,第22,世,法主・,大谷,光瑩",s4,生まれ変わりであるとしている。,生じた。,現存する。,生まれる。
test172,"彼は、,門,信徒に,戦争,協力を,促す",s1,後押しした。,得ることになる。,彫られる。,引き渡す。
test173,"茶室の,前に,つく,ばいが,あり、,ここで",s2,位置する。,使う。,位置づけられた。,使用される。
test174,"庇を,長めに,造る,ことで、",s4,みられる。,みられるようになってきた。,もつ。,もたらす。
test175,"また,「妙」の",s1,ある。,なる。,見られる。,いう。
test176,壁画には,s3,指摘している。,排除していた。,振られている。,指定されている。
test177,"ハワイには,「ポケ,（ポキ）」と,呼ばれる,刺身,料理が",s2,なる。,ある。,いう。,見られる。
test178,火力の,s3,認められることになる。,講じた。,調節できる。,読みつがれている。
test179,"密かに,同,母",s4,定着した。,就かせていただきます。,定める。,寄せている。
test180,"30,センチぐらいの,大きさの,葺き,石が",s3,表す。,衰退しつつある。,見られている。,視された。
test181,"妙,顕,寺を,移転させ,その,跡地に,建設された,ことから,「妙,顕,寺,城」とも",s4,いわれている。,される。,称される。,呼ばれる。
test182,"しかし、,義,演の,死後に,庭園内に,茶室が,置かれ、,回遊も",s4,増えた。,増やしていった。,好まれた。,変えられた。
test183,"のち,浄土宗の",s2,呼ばれていた。,学ぶ。,受けた。,安置されている。
test184,"山形県内,各地、,青森県,八戸市など,東北,地方、,新潟県の,中越,地方から",s4,機能した。,更迭されていた。,明記されている。,栽培される。
test185,"もう,一体は、,東京都,立川市の,燈,檠,山,真澄",s1,安置されている。,廃止された。,学ぶ。,呼ばれていた。
test186,比叡山,s4,言われている。,説いている。,いた。,開く。
test187,"ただし、,将官級の,軍人が,死亡した,場合は,どのような,形で,死亡しても,こう",s4,向かい掛けた。,含める。,呼称される。,呼ぶことがある。
test188,水銀,s1,思われる。,持っていた。,廃止された。,安置されている。
test189,"武士,道を,讃える,ものと,して",s3,変えられた。,増やしていった。,好まれた。,始まったとされている。
test190,"著書に,『家",s1,ある。,なる。,いう。,見られる。
test191,したがって,s1,なる。,見られる。,あった。,いう。
test192,現在も,s4,称される。,いわれている。,される。,呼ばれる。
test193,"宮内,庁が,管理しており、",s3,称された。,示した。,禁じられている。,祀られている。
test194,"このような,決めごとに,より、,観衆の",s2,露出している。,集中させる。,開かれた。,開催されている。
test195,"1968,年、,文化,庁,発足に,より,文化,庁,付属",s4,あった。,いう。,見られる。,なった。
test196,"比叡山,西,塔,北谷の,学,僧で、,法然が,13,歳で,最初に,師事した",s2,確認されている。,知られる。,盛る。,皮肉られた。
test197,"父の,遺志を,継いだ,景",s1,続ける。,編纂された。,結んだ。,継いだ。
test198,"梅,山,古墳の,埋葬,者に,ついては,蘇我,稲目と,する",s4,見られる。,なる。,いう。,ある。
test199,"近くに,神明,山,古墳,（日本,海,最大の,前方,後",s1,ある。,なる。,見られる。,いう。
test200,"数珠の,珠の,かたちは、,概ね,以下の,3",s2,出来た。,分けられる。,出現した。,分割した。
